0,1,2,3,4,5,6,7,8,9,10
547.0,137.0,245.0,254.0,269.0,362.0,342.0,116.0,555.0,4898.0,1916.0
423.0,140.0,238.0,544.0,200.0,308.0,219.0,615.0,564.0,1933.0,21624.0
120.0,399.0,1074.0,287.0,112.0,401.0,129.0,132.0,191.0,5740.0,6361.0
311.0,409.0,649.0,127.0,380.0,314.0,300.0,323.0,1543.0,1773.0,16204.0
360.0,575.0,99.0,274.0,484.0,162.0,112.0,255.0,281.0,783.0,511.0
226.0,18.0,95.0,98.0,165.0,249.0,118.0,330.0,283.0,1144.0,285.0
195.0,771.0,160.0,192.0,473.0,584.0,566.0,327.0,469.0,4313.0,6028.0
232.0,513.0,311.0,217.0,794.0,110.0,145.0,246.0,450.0,5607.0,2929.0
160.0,350.0,852.0,307.0,252.0,425.0,641.0,429.0,597.0,63.0,2758.0
272.0,148.0,187.0,206.0,585.0,396.0,265.0,163.0,84.0,1700.0,632.0
161.0,223.0,204.0,186.0,229.0,1240.0,67.0,655.0,621.0,4118.0,4864.0
310.0,257.0,211.0,393.0,227.0,122.0,202.0,109.0,221.0,2699.0,17466.0
497.0,273.0,567.0,110.0,630.0,727.0,197.0,795.0,266.0,1246.0,1224.0
147.0,62.0,146.0,79.0,80.0,225.0,176.0,125.0,65.0,3338.0,1666.0
772.0,680.0,443.0,154.0,740.0,950.0,249.0,1226.0,796.0,5469.0,13.0
162.0,534.0,240.0,236.0,935.0,292.0,415.0,394.0,647.0,927.0,4421.0
207.0,346.0,510.0,133.0,614.0,289.0,87.0,332.0,425.0,1863.0,1761.0
162.0,456.0,377.0,622.0,330.0,437.0,354.0,230.0,190.0,3741.0,5983.0
279.0,948.0,301.0,103.0,847.0,591.0,154.0,282.0,1179.0,611.0,568.0
72.0,188.0,315.0,77.0,252.0,53.0,220.0,522.0,556.0,2427.0,7733.0
38.0,347.0,256.0,274.0,343.0,284.0,526.0,390.0,168.0,1733.0,1724.0
48.0,465.0,60.0,545.0,400.0,469.0,170.0,232.0,347.0,4373.0,12520.0
391.0,383.0,307.0,175.0,318.0,370.0,105.0,277.0,236.0,1792.0,1379.0
491.0,464.0,393.0,209.0,376.0,570.0,148.0,345.0,450.0,740.0,2744.0
156.0,146.0,362.0,232.0,508.0,382.0,360.0,296.0,83.0,802.0,7269.0
700.0,343.0,75.0,177.0,284.0,583.0,120.0,1147.0,414.0,537.0,334.0
312.0,386.0,585.0,208.0,302.0,105.0,103.0,56.0,379.0,4821.0,14102.0
456.0,95.0,441.0,434.0,308.0,376.0,374.0,336.0,465.0,464.0,217.0
381.0,732.0,466.0,463.0,98.0,213.0,1081.0,478.0,328.0,1275.0,349.0
342.0,590.0,347.0,85.0,524.0,437.0,203.0,482.0,1119.0,3391.0,2513.0
213.0,798.0,973.0,285.0,394.0,344.0,370.0,546.0,191.0,2679.0,4360.0
271.0,513.0,388.0,376.0,1171.0,463.0,618.0,778.0,275.0,221.0,5070.0
138.0,453.0,263.0,199.0,945.0,771.0,166.0,544.0,583.0,2555.0,10401.0
68.0,373.0,245.0,201.0,99.0,132.0,90.0,563.0,142.0,4753.0,3895.0
316.0,137.0,258.0,118.0,152.0,173.0,175.0,240.0,2.0,115.0,2879.0
180.0,736.0,530.0,98.0,506.0,205.0,129.0,739.0,290.0,1077.0,12034.0
160.0,125.0,108.0,298.0,294.0,321.0,137.0,313.0,31.0,2044.0,11726.0
105.0,391.0,80.0,157.0,131.0,34.0,149.0,132.0,274.0,2202.0,543.0
673.0,43.0,339.0,173.0,157.0,370.0,187.0,113.0,176.0,1187.0,16015.0
153.0,367.0,136.0,544.0,674.0,319.0,785.0,170.0,445.0,3037.0,3312.0
131.0,420.0,595.0,165.0,730.0,494.0,174.0,320.0,237.0,2252.0,2655.0
156.0,162.0,1130.0,292.0,538.0,398.0,508.0,269.0,563.0,5289.0,1676.0
