0,1,2,3,4,5,6,7,8,9,10
5470.0,1370.0,2450.0,2540.0,2690.0,3620.0,3420.0,1160.0,5550.0,4898.0,1916.0
4230.0,1400.0,2380.0,5440.0,2000.0,3080.0,2190.0,6150.0,5640.0,1933.0,21624.0
1200.0,3990.0,10740.0,2870.0,1120.0,4010.0,1290.0,1320.0,1910.0,5740.0,6361.0
3110.0,4090.0,6490.0,1270.0,3800.0,3140.0,3000.0,3230.0,15430.0,1773.0,16204.0
3600.0,5750.0,990.0,2740.0,4840.0,1620.0,1120.0,2550.0,2810.0,783.0,511.0
2260.0,180.0,950.0,980.0,1650.0,2490.0,1180.0,3300.0,2830.0,1144.0,285.0
1950.0,7710.0,1600.0,1920.0,4730.0,5840.0,5660.0,3270.0,4690.0,4313.0,6028.0
2320.0,5130.0,3110.0,2170.0,7940.0,1100.0,1450.0,2460.0,4500.0,5607.0,2929.0
1600.0,3500.0,8520.0,3070.0,2520.0,4250.0,6410.0,4290.0,5970.0,63.0,2758.0
2720.0,1480.0,1870.0,2060.0,5850.0,3960.0,2650.0,1630.0,840.0,1700.0,632.0
1610.0,2230.0,2040.0,1860.0,2290.0,12400.0,670.0,6550.0,6210.0,4118.0,4864.0
3100.0,2570.0,2110.0,3930.0,2270.0,1220.0,2020.0,1090.0,2210.0,2699.0,17466.0
4970.0,2730.0,5670.0,1100.0,6300.0,7270.0,1970.0,7950.0,2660.0,1246.0,1224.0
1470.0,620.0,1460.0,790.0,800.0,2250.0,1760.0,1250.0,650.0,3338.0,1666.0
7720.0,6800.0,4430.0,1540.0,7400.0,9500.0,2490.0,12260.0,7960.0,5469.0,13.0
1620.0,5340.0,2400.0,2360.0,9350.0,2920.0,4150.0,3940.0,6470.0,927.0,4421.0
2070.0,3460.0,5100.0,1330.0,6140.0,2890.0,870.0,3320.0,4250.0,1863.0,1761.0
1620.0,4560.0,3770.0,6220.0,3300.0,4370.0,3540.0,2300.0,1900.0,3741.0,5983.0
2790.0,9480.0,3010.0,1030.0,8470.0,5910.0,1540.0,2820.0,11790.0,611.0,568.0
720.0,1880.0,3150.0,770.0,2520.0,530.0,2200.0,5220.0,5560.0,2427.0,7733.0
380.0,3470.0,2560.0,2740.0,3430.0,2840.0,5260.0,3900.0,1680.0,1733.0,1724.0
480.0,4650.0,600.0,5450.0,4000.0,4690.0,1700.0,2320.0,3470.0,4373.0,12520.0
3910.0,3830.0,3070.0,1750.0,3180.0,3700.0,1050.0,2770.0,2360.0,1792.0,1379.0
4910.0,4640.0,3930.0,2090.0,3760.0,5700.0,1480.0,3450.0,4500.0,740.0,2744.0
1560.0,1460.0,3620.0,2320.0,5080.0,3820.0,3600.0,2960.0,830.0,802.0,7269.0
7000.0,3430.0,750.0,1770.0,2840.0,5830.0,1200.0,11470.0,4140.0,537.0,334.0
3120.0,3860.0,5850.0,2080.0,3020.0,1050.0,1030.0,560.0,3790.0,4821.0,14102.0
4560.0,950.0,4410.0,4340.0,3080.0,3760.0,3740.0,3360.0,4650.0,464.0,217.0
3810.0,7320.0,4660.0,4630.0,980.0,2130.0,10810.0,4780.0,3280.0,1275.0,349.0
3420.0,5900.0,3470.0,850.0,5240.0,4370.0,2030.0,4820.0,11190.0,3391.0,2513.0
2130.0,7980.0,9730.0,2850.0,3940.0,3440.0,3700.0,5460.0,1910.0,2679.0,4360.0
2710.0,5130.0,3880.0,3760.0,11710.0,4630.0,6180.0,7780.0,2750.0,221.0,5070.0
1380.0,4530.0,2630.0,1990.0,9450.0,7710.0,1660.0,5440.0,5830.0,2555.0,10401.0
680.0,3730.0,2450.0,2010.0,990.0,1320.0,900.0,5630.0,1420.0,4753.0,3895.0
3160.0,1370.0,2580.0,1180.0,1520.0,1730.0,1750.0,2400.0,20.0,115.0,2879.0
1800.0,7360.0,5300.0,980.0,5060.0,2050.0,1290.0,7390.0,2900.0,1077.0,12034.0
1600.0,1250.0,1080.0,2980.0,2940.0,3210.0,1370.0,3130.0,310.0,2044.0,11726.0
1050.0,3910.0,800.0,1570.0,1310.0,340.0,1490.0,1320.0,2740.0,2202.0,543.0
6730.0,430.0,3390.0,1730.0,1570.0,3700.0,1870.0,1130.0,1760.0,1187.0,16015.0
1530.0,3670.0,1360.0,5440.0,6740.0,3190.0,7850.0,1700.0,4450.0,3037.0,3312.0
1310.0,4200.0,5950.0,1650.0,7300.0,4940.0,1740.0,3200.0,2370.0,2252.0,2655.0
1560.0,1620.0,11300.0,2920.0,5380.0,3980.0,5080.0,2690.0,5630.0,5289.0,1676.0
2640.0,1930.0,3860.0,4150.0,2030.0,4480.0,4390.0,9240.0,4240.0,5415.0,567.0
4410.0,2740.0,6950.0,1690.0,2220.0,6020.0,4120.0,4080.0,7300.0,5180.0,2287.0
2460.0,5810.0,1420.0,1290.0,3560.0,3950.0,1250.0,1440.0,3870.0,2628.0,2840.0
260.0,3630.0,6570.0,4340.0,6350.0,7940.0,4780.0,3490.0,8350.0,2651.0,9483.0
1390.0,740.0,2700.0,4230.0,3330.0,3910.0,3940.0,3420.0,6710.0,2763.0,1636.0
810.0,8630.0,2530.0,3950.0,8980.0,4220.0,2120.0,3020.0,1840.0,3634.0,8898.0
920.0,3080.0,940.0,2750.0,4330.0,4790.0,1800.0,3240.0,7400.0,3645.0,3625.0
2360.0,7760.0,1330.0,2600.0,6760.0,3000.0,2540.0,2280.0,6830.0,1726.0,635.0
5900.0,7570.0,4190.0,5770.0,2220.0,7660.0,1790.0,6000.0,6530.0,1358.0,7144.0
1900.0,14520.0,900.0,1300.0,8110.0,4170.0,5980.0,5630.0,6000.0,2216.0,6620.0
2480.0,3110.0,5300.0,4330.0,5330.0,6300.0,1090.0,4470.0,3540.0,4215.0,369.0
1290.0,2020.0,3210.0,1100.0,690.0,2640.0,740.0,1360.0,590.0,2926.0,10036.0
3240.0,6260.0,5200.0,2760.0,4870.0,3510.0,2690.0,230.0,7730.0,4347.0,2220.0
2900.0,5400.0,1070.0,2080.0,3300.0,6210.0,2440.0,1730.0,1470.0,5568.0,3748.0
